Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AFGANISTAN;2;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ALBANIJA;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
ALŽIR;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ARGENTINA;1;;5;5;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
ARGENTINA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;1;;5;5;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;2;;5;5;5;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;5;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;7;;2;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;9;;8;8;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;11;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRIJA;1;;15;15;15;0;0;0;0;0;0;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
AUSTRIJA;2;;32;32;32;0;0;0;0;2;0;26;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;;;
AUSTRIJA;3;;19;19;18;1;0;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
AUSTRIJA;4;;19;19;19;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRIJA;5;;33;33;33;0;0;0;0;0;0;29;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;;;
AUSTRIJA;6;;5;5;5;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRIJA;7;;54;54;53;1;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;;;
AUSTRIJA;8;;8;8;8;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
BELGIJA;1;;20;20;20;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;1;0;0;0;13;1;0;0;;;
BOSNA I HERCEGOVINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;2;;4;4;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
BOSNA I HERCEGOVINA;3;;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;;
BOSNA I HERCEGOVINA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;6;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;10;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;13;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;14;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;15;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;16;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;17;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;18;;6;6;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;19;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;20;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;21;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;22;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;25;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;26;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;27;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;28;;9;9;9;0;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
BOSNA I HERCEGOVINA;29;;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;30;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;32;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;33;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;35;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;37;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;40;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
BOSNA I HERCEGOVINA;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;42;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;43;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;44;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;46;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;47;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;48;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;49;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;53;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;54;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;55;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;56;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;57;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;58;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;59;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;60;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;61;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;62;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;63;;4;4;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
BOSNA I HERCEGOVINA;64;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;65;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;66;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;67;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;68;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;69;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;70;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;71;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;72;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;73;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;74;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;75;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;76;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;77;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;78;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;79;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;80;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;81;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;82;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;83;;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
