Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;
IV. IZBORNA JEDINICA;AFGANISTAN;1;biraèko mjesto broj 1 - KABUL;WAREHOUSE CAMP;ISLAMSKA REPUBLIKA AFGANISTAN;0;10;10;10;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AFGANISTAN;2;biraèko mjesto broj 2 - MAZAR-I-SHARIF;MARMAL CAMP;ISLAMSKA REPUBLIKA AFGANISTAN;0;41;41;39;2;0;0;0;0;0;0;0;0;0;13;3;0;1;3;13;3;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AFGANISTAN;3;biraèko mjesto broj 3 - MAZAR-I-SHARIF;MIKE SPANN CAMP;ISLAMSKA REPUBLIKA AFGANISTAN;0;5;5;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;
IV. IZBORNA JEDINICA;ALBANIJA;1;biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;"RRUGA A. TOPTANI ""TORRE DRIN"" BUILDING 4, TIRANA, ALBANIJA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ALŽIR;1;biraèko mjesto broj 1 - ALŽIR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ALŽIRSKOJ NARODNOJ DEMOKRATSKOJ REPUBLICI;26 BIS, RUE MOHAMED HADJ AHMED, HYDRA, ALGER - 16450, ALGERIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ARGENTINA;1;biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;1;biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY, ACT 2606 CANBERRA, AUSTRALIJA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;2;biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;0;8;8;8;0;0;0;0;0;1;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;3;biraèko mjesto broj 3 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;0;9;9;9;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;4;biraèko mjesto broj 4 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;"HRVATSKI KLUB ""KRALJ TOMISLAV"", 223-227 EDENSOR RD, EDENSOR PARK, NSW";0;6;6;6;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;5;biraèko mjesto broj 5 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;"HRVATSKI KLUB ""KRALJ TOMISLAV"", 223-227 EDENSOR RD, EDENSOR PARK, NSW";0;11;11;11;0;1;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRALIJA;6;biraèko mjesto broj 6 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST. GEORGES TCE, PERTH WA 6000, AUSTRALIJA;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRIJA;1;biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;BOTSCHAFT DER REPUBLIK KROATIEN, KONSULARABTEILUNG, OPERNGASSE 20 B, A;0;10;10;10;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;AUSTRIJA;2;biraèko mjesto broj 2 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;BOTSCHAFT DER REPUBLIK KROATIEN, KONSULARABTEILUNG, OPERNGASSE 20 B, A;0;10;10;10;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BELGIJA;1;biraèko mjesto broj 1 -  BRUXELLES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI BELGIJI;AVENUE LOUISE 425, 1050 BRUXELLES, BELGIJA;0;11;11;11;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;1;biraèko mjesto broj 1 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;2;biraèko mjesto broj 2 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;3;biraèko mjesto broj 3 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;4;biraèko mjesto broj 4 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;5;biraèko mjesto broj 5 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;6;biraèko mjesto broj 6 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;7;biraèko mjesto broj 7 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;8;biraèko mjesto broj 8 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;9;biraèko mjesto broj 9 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;10;biraèko mjesto broj 10 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;11;biraèko mjesto broj 11 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;12;biraèko mjesto broj 12 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;13;biraèko mjesto broj 13 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;14;biraèko mjesto broj 14 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;15;biraèko mjesto broj 15 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;16;biraèko mjesto broj 16 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;17;biraèko mjesto broj 17 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;18;biraèko mjesto broj 18 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
