Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ 
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
V. IZBORNA JEDINICA;ILOK;7;5.558;3.700;3.698;3.638;60;7;15;19;17;81;14;23;1.558;29;55;100;71;450;189;53;17;12;14;880;7;7;7;13
V. IZBORNA JEDINICA;KUTJEVO;21;5.947;3.491;3.490;3.438;52;5;9;14;17;70;51;10;936;11;91;37;106;153;869;55;8;4;16;952;6;12;4;2
V. IZBORNA JEDINICA;LIPIK;16;5.104;3.012;3.012;2.938;74;16;12;29;20;90;13;14;1.015;15;174;85;80;93;137;86;11;8;10;1.006;6;6;4;8
V. IZBORNA JEDINICA;NOVA GRADIŠKA;14;13.630;7.585;7.569;7.435;134;13;19;25;9;137;27;41;2.008;29;426;216;195;163;936;238;24;25;13;2.830;15;7;17;22
V. IZBORNA JEDINICA;OTOK;6;6.107;3.728;3.721;3.649;72;13;16;7;12;42;9;21;1.797;14;75;141;40;83;337;51;11;9;8;941;4;8;6;4
V. IZBORNA JEDINICA;PAKRAC;23;7.105;4.359;4.358;4.266;92;22;23;37;15;146;13;30;1.622;28;68;65;107;59;210;124;14;5;15;1.611;7;13;18;14
V. IZBORNA JEDINICA;PLETERNICA;36;10.129;6.557;6.533;6.448;85;11;26;23;17;156;58;32;2.688;34;165;62;119;175;884;86;29;17;32;1.794;8;11;10;11
V. IZBORNA JEDINICA;POŽEGA;48;23.471;15.378;15.375;15.191;184;29;51;64;34;615;77;63;4.201;66;218;284;215;351;1.744;485;110;62;51;6.274;63;32;50;52
V. IZBORNA JEDINICA;SLAVONSKI BROD;60;57.340;32.380;32.296;31.840;456;33;98;91;54;739;63;117;7.721;146;287;634;4.470;1.408;2.597;1.006;231;132;72;11.650;60;63;97;71
V. IZBORNA JEDINICA;VINKOVCI;33;29.549;19.186;19.009;18.718;291;15;64;71;35;385;62;97;6.156;81;140;794;385;816;1.891;584;211;68;37;6.696;24;24;32;50
V. IZBORNA JEDINICA;VUKOVAR;16;21.203;12.718;12.455;12.270;185;16;25;41;33;174;24;29;4.510;41;39;195;261;803;533;205;47;17;17;5.174;23;23;21;19
V. IZBORNA JEDINICA;ŽUPANJA;9;12.620;6.549;6.548;6.465;83;11;29;22;19;136;37;29;2.243;40;105;130;100;154;730;189;45;17;23;2.349;8;14;12;23
V. IZBORNA JEDINICA;ANDRIJAŠEVCI;4;3.305;1.956;1.954;1.922;32;1;4;4;6;30;5;8;683;11;35;51;54;41;328;46;13;5;7;581;3;3;1;2
V. IZBORNA JEDINICA;BABINA GREDA;5;3.543;1.835;1.831;1.815;16;9;2;9;8;21;14;1;584;17;113;17;28;74;261;12;8;1;7;614;2;8;3;2
V. IZBORNA JEDINICA;BEBRINA;7;2.761;1.605;1.605;1.553;52;4;10;6;9;22;14;11;534;6;119;19;81;83;198;17;3;9;6;389;7;2;2;2
V. IZBORNA JEDINICA;BOGDANOVCI;3;1.415;1.007;1.007;990;17;2;1;5;6;9;4;4;372;4;33;0;37;95;116;7;5;2;4;280;1;2;0;1
V. IZBORNA JEDINICA;BOROVO;5;863;494;494;462;32;4;1;5;0;8;3;1;37;4;3;20;2;8;8;2;0;0;1;347;4;2;2;0
V. IZBORNA JEDINICA;BOŠNJACI;4;3.814;1.904;1.904;1.861;43;5;5;3;7;36;9;11;620;19;172;14;30;45;282;30;11;5;23;523;3;3;2;3
V. IZBORNA JEDINICA;BRESTOVAC;17;3.725;2.149;2.149;2.122;27;5;5;10;4;56;13;12;791;6;49;24;28;42;312;31;14;10;2;688;5;6;4;5
V. IZBORNA JEDINICA;BRODSKI STUPNIK;5;2.823;1.629;1.629;1.597;32;2;9;5;3;35;6;2;404;10;126;51;131;155;178;35;12;5;4;412;4;4;2;2
V. IZBORNA JEDINICA;BUKOVLJE;6;2.901;1.620;1.620;1.591;29;4;1;5;4;23;4;12;510;6;23;10;128;78;130;24;10;7;5;598;3;4;1;1
V. IZBORNA JEDINICA;CERNA;5;4.006;2.462;2.449;2.417;32;3;5;12;4;55;19;17;864;13;45;51;30;55;316;40;6;7;5;847;4;5;11;3
V. IZBORNA JEDINICA;CERNIK;10;3.534;2.155;2.155;2.105;50;3;9;15;5;47;4;13;563;5;144;46;70;42;445;45;11;2;9;620;4;1;0;2
V. IZBORNA JEDINICA;ÈAGLIN;22;2.099;1.317;1.317;1.302;15;3;8;9;5;38;19;8;417;7;119;8;12;32;184;7;4;3;4;410;1;2;1;1
V. IZBORNA JEDINICA;DAVOR;3;2.536;1.515;1.515;1.490;25;2;10;8;6;34;9;7;571;13;88;37;58;85;166;28;14;8;6;332;1;2;1;4
V. IZBORNA JEDINICA;DONJI ANDRIJEVCI;6;3.455;1.910;1.910;1.870;40;1;5;10;4;49;10;5;512;11;55;29;103;138;382;19;4;7;9;497;6;2;6;6
V. IZBORNA JEDINICA;DRAGALIÆ;6;1.423;691;691;675;16;0;4;3;0;11;3;4;197;5;75;5;21;15;87;15;1;2;1;221;2;2;0;1
V. IZBORNA JEDINICA;DRENOVCI;6;5.131;2.544;2.544;2.509;35;10;4;15;7;33;13;11;988;7;170;68;26;100;333;27;6;3;24;640;5;11;4;4
V. IZBORNA JEDINICA;GARÈIN;9;4.340;2.604;2.604;2.563;41;3;7;23;4;34;10;13;955;12;127;48;126;52;377;47;15;12;7;676;2;7;2;4
V. IZBORNA JEDINICA;GORNJA VRBA;5;2.324;1.248;1.248;1.235;13;1;6;7;6;13;2;8;358;6;27;19;249;7;132;24;13;3;2;345;2;0;3;2
V. IZBORNA JEDINICA;GORNJI BOGIÆEVCI;5;2.123;1.022;1.022;1.000;22;3;4;4;3;18;5;6;421;6;72;12;120;12;58;15;10;7;1;218;4;0;0;1
V. IZBORNA JEDINICA;GRADIŠTE;4;2.723;1.265;1.263;1.239;24;3;6;2;9;16;9;7;323;16;15;36;27;96;226;26;4;5;6;402;0;0;2;3
V. IZBORNA JEDINICA;GUNDINCI;4;1.697;987;987;960;27;1;2;3;3;10;5;4;301;4;34;10;57;32;92;10;8;1;3;370;3;4;1;2
V. IZBORNA JEDINICA;GUNJA;4;3.491;1.432;1.430;1.408;22;6;8;14;2;21;6;6;504;12;33;48;11;35;137;19;13;6;8;504;3;6;2;4
V. IZBORNA JEDINICA;IVANKOVO;6;6.880;4.055;4.050;3.977;73;3;14;9;10;90;19;17;1.700;26;36;136;73;148;546;84;32;22;35;955;6;4;5;7
V. IZBORNA JEDINICA;JAKŠIÆ;13;3.614;2.284;2.281;2.249;32;5;9;12;2;44;31;12;753;7;79;14;81;48;436;42;25;13;4;617;2;6;5;2
V. IZBORNA JEDINICA;JARMINA;3;2.086;1.234;1.234;1.213;21;3;3;6;2;14;9;3;521;8;11;67;45;29;153;23;2;3;2;297;2;3;3;4
V. IZBORNA JEDINICA;KAPTOL;11;3.135;1.913;1.913;1.876;37;2;10;12;5;34;12;10;566;9;94;17;26;37;425;22;13;5;16;543;3;4;7;4
V. IZBORNA JEDINICA;KLAKAR;5;1.996;1.292;1.292;1.270;22;3;2;1;2;30;3;4;431;8;56;19;261;29;168;18;5;4;3;219;0;2;1;1
V. IZBORNA JEDINICA;LOVAS;2;1.153;807;807;794;13;0;2;5;3;12;2;4;543;5;16;4;11;21;36;6;1;0;3;117;0;0;2;1
V. IZBORNA JEDINICA;MARKUŠICA;6;615;315;313;299;14;1;2;3;1;3;0;2;16;9;1;0;1;2;13;4;0;0;2;230;9;0;0;0
V. IZBORNA JEDINICA;NEGOSLAVCI;1;103;56;56;48;8;0;1;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0
V. IZBORNA JEDINICA;NIJEMCI;8;4.537;2.492;2.487;2.425;62;4;11;8;5;19;11;18;916;10;58;93;26;261;363;27;6;6;11;550;2;10;4;6
V. IZBORNA JEDINICA;NOVA KAPELA;14;3.883;2.348;2.338;2.299;39;4;11;15;9;24;9;9;673;13;182;36;192;63;369;39;7;10;9;604;4;4;7;6
V. IZBORNA JEDINICA;NUŠTAR;5;4.824;3.236;3.215;3.146;69;2;7;14;7;68;9;15;1.356;18;57;149;107;134;337;72;12;13;8;738;5;3;9;6
V. IZBORNA JEDINICA;OKUÈANI;6;3.960;1.745;1.703;1.657;46;2;7;8;4;36;6;6;828;5;92;25;51;41;54;14;9;3;7;445;5;2;1;6
V. IZBORNA JEDINICA;OPRISAVCI;9;2.307;1.307;1.307;1.272;35;1;5;4;6;25;7;4;376;6;136;22;48;49;175;26;2;5;2;362;1;3;3;4
V. IZBORNA JEDINICA;ORIOVAC;11;5.406;3.178;3.178;3.113;65;5;8;15;9;72;15;12;914;13;383;29;161;93;472;53;8;12;10;802;8;11;2;6
V. IZBORNA JEDINICA;PODCRKAVLJE;11;2.218;1.512;1.512;1.478;34;3;4;9;9;17;12;8;513;12;92;20;186;44;169;17;5;6;6;335;3;2;4;2
V. IZBORNA JEDINICA;PRIVLAKA;3;2.848;1.515;1.515;1.489;26;6;1;5;3;19;8;8;652;6;38;39;16;55;190;21;16;3;5;385;5;1;3;4
V. IZBORNA JEDINICA;REŠETARI;8;4.303;2.544;2.543;2.498;45;3;7;12;5;34;9;9;586;9;434;314;52;69;368;51;21;8;8;477;5;5;6;6
V. IZBORNA JEDINICA;SIBINJ;12;6.364;3.551;3.538;3.465;73;9;21;13;18;48;9;8;989;14;92;64;335;387;450;75;13;12;8;870;5;9;8;8
V. IZBORNA JEDINICA;SIKIREVCI;5;2.282;1.249;1.249;1.209;40;5;8;1;3;32;4;3;500;2;83;15;50;43;176;11;7;1;8;251;3;1;1;1
V. IZBORNA JEDINICA;SLAVONSKI ŠAMAC;4;2.381;1.011;1.011;989;22;2;3;6;2;11;2;4;318;6;111;14;23;55;126;10;5;3;1;281;0;1;4;1
V. IZBORNA JEDINICA;STARA GRADIŠKA;6;1.423;716;716;696;20;3;2;6;1;15;2;6;228;4;56;6;28;25;62;6;0;5;2;228;4;4;0;3
V. IZBORNA JEDINICA;STARI JANKOVCI;5;3.492;2.039;2.039;1.990;49;3;4;6;5;32;12;12;910;11;44;80;22;57;267;29;5;3;8;471;2;2;2;3
V. IZBORNA JEDINICA;STARI MIKANOVCI;4;2.661;1.668;1.668;1.644;24;2;7;8;5;18;6;5;473;11;57;27;30;93;233;30;4;0;8;617;1;3;2;4
V. IZBORNA JEDINICA;STARO PETROVO SELO;13;5.024;2.804;2.803;2.751;52;4;9;14;10;43;22;16;903;20;316;91;59;102;465;44;9;8;13;577;4;6;10;6
V. IZBORNA JEDINICA;ŠTITAR;2;2.153;974;974;959;15;2;3;6;2;11;9;3;235;8;92;19;21;26;231;12;3;4;7;258;1;2;2;2
V. IZBORNA JEDINICA;TOMPOJEVCI;5;1.207;858;858;837;21;1;1;2;1;15;3;5;405;4;16;14;27;43;70;12;1;1;1;205;1;2;4;3
V. IZBORNA JEDINICA;TORDINCI;4;1.552;994;994;973;21;1;3;2;5;14;3;7;395;5;22;132;20;15;113;7;6;1;0;218;1;1;2;0
V. IZBORNA JEDINICA;TOVARNIK;4;2.600;1.621;1.619;1.600;19;3;7;2;5;18;8;12;788;3;15;12;32;33;278;25;2;8;7;324;3;3;6;6
V. IZBORNA JEDINICA;TRPINJA;7;1.230;785;776;752;24;1;3;5;1;7;1;2;73;0;6;3;7;7;20;12;2;0;6;591;1;1;1;2
V. IZBORNA JEDINICA;VELIKA;17;4.978;3.053;3.053;3.000;53;10;19;24;7;78;23;13;1.002;19;74;44;57;49;449;56;9;7;16;1.011;7;11;7;8
V. IZBORNA JEDINICA;VELIKA KOPANICA;9;3.331;1.657;1.657;1.631;26;4;6;8;13;29;10;5;459;8;80;61;92;86;272;34;6;6;7;434;0;4;5;2
V. IZBORNA JEDINICA;VOÐINCI;2;1.675;1.034;1.034;1.011;23;6;4;6;9;13;6;1;382;10;15;29;30;37;195;17;14;4;2;225;4;2;0;0
V. IZBORNA JEDINICA;VRBANJA;6;4.101;1.872;1.857;1.832;25;3;5;15;7;21;8;4;544;8;170;148;27;151;207;20;8;10;9;453;3;3;2;6
V. IZBORNA JEDINICA;VRBJE;7;2.260;1.211;1.211;1.193;18;5;1;1;6;9;5;6;452;8;296;10;13;22;142;3;5;4;4;196;3;1;0;1
V. IZBORNA JEDINICA;VRPOLJE;4;3.277;1.891;1.888;1.861;27;2;3;9;6;38;7;7;730;12;34;38;65;61;339;44;9;4;4;434;3;5;2;5
V. IZBORNA JEDINICA;UKUPNO;672;367.654;214.815;214.081;210.478;3.603;379;716;892;575;4.384;936;938;69.098;1.051;6.864;5.157;9.853;8.445;24.174;4.654;1.215;680;694;68.032;406;417;448;470
