Izborna jedinica;Država;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
XI. IZBORNA JEDINICA;AFGANISTAN;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ALBANIJA;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ALŽIR;1;20;5;5;5;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ARGENTINA;1;3.515;92;92;92;0;0;0;5;0;47;0;4;4;3;21;6;0;0;1;1
XI. IZBORNA JEDINICA;AUSTRALIJA;6;7.158;556;556;551;5;4;0;7;6;393;2;5;47;29;23;29;0;0;6;0
XI. IZBORNA JEDINICA;AUSTRIJA;2;10.974;218;218;218;0;0;0;0;6;163;1;3;14;19;3;3;3;0;2;1
XI. IZBORNA JEDINICA;BELGIJA;1;775;18;18;18;0;0;0;0;0;12;0;0;1;3;0;0;0;0;0;2
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;30;263.435;16.912;16.902;16.714;188;68;121;68;570;12.197;93;330;1.929;374;129;97;129;23;100;486
XI. IZBORNA JEDINICA;BUGARSKA;1;36;9;9;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;CRNA GORA;2;3.031;230;230;228;2;3;9;3;19;119;9;31;10;12;1;2;6;0;4;0
XI. IZBORNA JEDINICA;ÈEŠKA REPUBLIKA;1;375;7;7;7;0;0;2;0;1;3;0;1;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ÈILE;1;4.308;14;14;14;0;0;0;0;2;6;0;0;1;0;1;2;2;0;0;0
XI. IZBORNA JEDINICA;DANSKA;1;493;4;4;4;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0
XI. IZBORNA JEDINICA;EGIPAT;1;103;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;FINSKA;1;29;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;FRANCUSKA;1;1.973;15;15;15;0;0;0;0;0;7;1;0;0;2;0;4;1;0;0;0
XI. IZBORNA JEDINICA;GRÈKA;1;61;4;4;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0
XI. IZBORNA JEDINICA;INDIJA;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;INDONEZIJA;1;13;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;IRAN;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;IRSKA;1;45;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ITALIJA;3;2.490;62;62;62;0;0;0;5;2;37;0;1;1;1;6;2;7;0;0;0
XI. IZBORNA JEDINICA;IZRAEL;1;82;11;11;11;0;0;1;0;2;4;0;1;0;1;0;1;1;0;0;0
XI. IZBORNA JEDINICA;JAPAN;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;JUŽNOAFRIÈKA REPUBLIKA;1;603;3;3;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;KANADA;3;3.389;172;172;171;1;0;2;0;5;114;1;4;6;27;5;5;0;0;2;0
XI. IZBORNA JEDINICA;KINA;1;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
XI. IZBORNA JEDINICA;KOSOVO;1;458;14;14;14;0;0;0;0;0;11;2;0;0;0;1;0;0;0;0;0
XI. IZBORNA JEDINICA;MAÐARSKA;2;679;14;14;14;0;0;0;0;2;10;0;0;2;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;MAKEDONIJA;1;1.922;195;195;193;2;2;1;4;16;115;7;26;2;1;1;4;7;1;5;1
XI. IZBORNA JEDINICA;MALEZIJA;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;MAROKO;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;NIZOZEMSKA;1;1.247;11;11;11;0;0;0;0;1;9;0;0;0;1;0;0;0;0;0;0
XI. IZBORNA JEDINICA;NORVEŠKA;1;259;6;6;6;0;0;2;0;1;1;0;0;1;0;0;0;1;0;0;0
XI. IZBORNA JEDINICA;NOVI ZELAND;1;636;10;10;10;0;2;0;0;0;2;0;6;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;NJEMAÈKA;19;41.442;1.469;1.467;1.457;10;2;6;12;21;1.217;4;18;47;56;17;31;6;1;8;11
XI. IZBORNA JEDINICA;POLJSKA;1;64;3;3;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;PORTUGAL;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;RUMUNJSKA;1;1.538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;RUSIJA;1;133;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;SAD;4;6.679;70;70;70;0;0;0;3;1;44;0;6;5;3;5;1;0;0;1;1
XI. IZBORNA JEDINICA;SIRIJA;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;SLOVAÈKA;1;62;4;4;3;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
XI. IZBORNA JEDINICA;SLOVENIJA;1;4.551;42;42;40;2;0;0;1;4;20;1;3;3;2;2;0;4;0;0;0
XI. IZBORNA JEDINICA;SRBIJA;6;34.388;566;566;541;25;31;20;4;36;237;20;64;20;23;11;9;35;1;24;6
XI. IZBORNA JEDINICA;ŠPANJOLSKA;1;255;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ŠVEDSKA;1;2.394;19;19;19;0;0;0;0;1;12;0;0;2;4;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ŠVICARSKA;3;9.971;184;184;182;2;0;0;0;3;127;5;3;6;27;5;1;0;0;1;4
XI. IZBORNA JEDINICA;TURSKA;2;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;UKRAJINA;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;VELIKA BRITANIJA;1;601;6;6;6;0;0;0;0;0;3;0;0;1;0;1;0;0;0;1;0
XI. IZBORNA JEDINICA;VENECUELA;1;1.392;125;125;125;0;3;1;0;13;73;3;5;1;12;2;3;4;2;3;0
XI. IZBORNA JEDINICA;UKUPNO;124;411.758;21.078;21.066;20.828;238;117;167;112;715;15.002;150;518;2.103;602;234;200;208;28;159;513
