Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;IRAN;1;biraèko mjesto broj 1 - TEHERAN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ISLAMSKOJ REPUBLICI IRANU;1. BEHESTAN BR. 25, AVIA PASDARAN, TEHERAN, ISLAMSKA REPUBLIKA IRAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;IRSKA;1;biraèko mjesto broj 1 - DUBLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U IRSKOJ;ADELAIDE CHAMBERS, PETER STREET, DUBLIN 8, IRSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ITALIJA;1;biraèko mjesto broj 1 - MILANO;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;PIAZZALE LUIGI CADORNA 15/1, 20123 MILANO, TALIJANSKA REPUBLIKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ITALIJA;2;biraèko mjesto broj 2 - RIM;VELEPOSLANSTVO REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;VIA LUIGI BODIO 74-76 00191 ROMA, TALIJANSKA REPUBLIKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ITALIJA;3;biraèko mjesto broj 3 - TRST;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI, TRST;PIAZZA GOLDONI 9, 34122 TRST, TALIJANSKA REPUBLIKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;IZRAEL;1;biraèko mjesto broj 1 - TEL AVIV;VELEPOSLANSTVO REPUBLIKE HRVATSKE U DRŽAVI IZRAEL;2, WEITZMAN STREET, AMOT INVESTMENT BUILDING, 8TH FLOOR, TEL AVIV 6423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;JAPAN;1;biraèko mjesto broj 1 - TOKYO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U JAPANU;3-3-10 HIROO, SHIBUYA-KU, TOKYO 1500-0012, JAPAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;JUŽNOAFRIÈKA REPUBLIKA;1;biraèko mjesto broj 1 - PRETORIJA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI JUŽNOJ AFRICI;1160 CHURCH STREET, COLBYN 0083, PRETORIA, SOUTH AFRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;KANADA;1;biraèko mjesto broj 1 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSAUGA, ONTARIO L4Y 2B8, KANAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;KANADA;2;biraèko mjesto broj 2 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSIAUGA, ONTARIO L4Y 2B8, KANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;KANADA;3;biraèko mjesto broj 3 - OTTAWA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KANADI;229 CHAPEL STREET, OTTAWA, ONTARIO K1N 7Y6, KANADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;KINA;1;biraèko mjesto broj 1 - PEKING;VELEPOSLANSTVO REPUBLIKE HRVATSKE U NARODNOJ REPUBLICI KINI;SAN LI TUN DIPLOMATIC OFFICE BUILDING 2-7-2, 100600 BEIJING, NR KINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;KOSOVO;1;biraèko mjesto broj 1 - PRIŠTINA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI KOSOVO;FEHMI AGANI 69/A, PRISHTINË, KOSOVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;MAÐARSKA;1;biraèko mjesto broj 1 - BUDIMPEŠTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ;MUNKÁCSY MIHÁLY U. 15, 1063 BUDAPEST, MAÐARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;MAÐARSKA;2;biraèko mjesto broj 2 - PEÈUH;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ, PEÈUH;IFJUSAG U. 11, 7624 PECS, MAÐARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;MAKEDONIJA;1;biraèko mjesto broj 1 - SKOPJE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAKEDONIJI;MITROPOLIT TEODOSIE GOLOGANOV 44, 1000 SKOPJE, MAKEDONIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;MALEZIJA;1;biraèko mjesto broj 1 - KUALA LUMPUR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U MALEZIJI;NO. 3, JALAN MENGKUANG, OFF JALAN RU, OFF JALAN AMPANG, 55000 KUALA LU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;MAROKO;1;biraèko mjesto broj 1 - RABAT;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI MAROKU;73, RUE MARNISSA (SOUISSI), 10000 RABAT, MAROKO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NIZOZEMSKA;1;biraèko mjesto broj 1 - DEN HAAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NIZOZEMSKOJ;AMALIASTRAAT 16, 2514 JC DEN HAAG, NIZOZEMSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NORVEŠKA;1;biraèko mjesto broj 1 - OSLO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NORVEŠKOJ;DRAMMENSVEIEN 82, 0244 OSLO, NORVEŠKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NOVI ZELAND;1;biraèko mjesto broj 1 - AUCKLAND;GENERALNI KONZULAT REPUBLIKE HRVATSKE U NOVOM ZELANDU;291 LINCOLN ROAD, HENDERSON, AUCKLAND, NOVI ZELAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;1;biraèko mjesto broj 1 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;2;biraèko mjesto broj 2 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;3;biraèko mjesto broj 3 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;4;biraèko mjesto broj 4 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;5;biraèko mjesto broj 5 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;6;biraèko mjesto broj 6 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;7;biraèko mjesto broj 7 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;8;biraèko mjesto broj 8 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;9;biraèko mjesto broj 9 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;10;biraèko mjesto broj 10- HAMBURG;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, HAMBURG;HERMANNSTRASSE 16, 20095 HAMBURG, SR NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;11;biraèko mjesto broj 11 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;12;biraèko mjesto broj 12 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ,MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;13;biraèko mjesto broj 13 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;14;biraèko mjesto broj 14 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;15;biraèko mjesto broj 15 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;0;2;2;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;16;biraèko mjesto broj 16 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;17;biraèko mjesto broj 17 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;18;biraèko mjesto broj 18 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;NJEMAÈKA;19;biraèko mjesto broj 19 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;POLJSKA;1;biraèko mjesto broj 1 - VARŠAVA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI POLJSKOJ;UL. IGNACEGO KRASICKIEGO 25, 02-611 WARSZAW, POLJSKA;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;PORTUGAL;1;biraèko mjesto broj 1 - LISABON;VELEPOSLANSTVO REPUBLIKE HRVATSKE U PORTUGALSKOJ REPUBLICI;RUA DOM LOURENCO DE ALMEIDA, 24, 1400-126 LISBOA, PORTUGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;RUMUNJSKA;1;biraèko mjesto broj 1 - BUKUREŠT;VELEPOSLANSTVO REPUBLIKE HRVATSKE U RUMUNJSKOJ;STR. DR. BURGHELEA BR. 1, SECTOR 2, BUCURESTI, RUMUNJSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;RUSIJA;1;biraèko mjesto broj 1 - MOSKVA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U RUSKOJ FEDERACIJI;KOROBEYNIKOV PEREULOK 16/10, 119034 MOSKVA, RUSIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SAD;1;biraèko mjesto broj 1 - WASHINGTON;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA;2343 MASSACHUSETTS AVE. NW, WASHINGTON D.C. 20008-2803, SAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SAD;2;biraèko mjesto broj 2 - CHICAGO;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA, CHICAGO;737 NORTH MICHIGAN AVENUE,  SUITE 1030, CHICAGO, ILINOIS 60611, SAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SAD;3;biraèko mjesto broj 3 - LOS ANGELES;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA, LOS ANGELES;11766 WILSHIRE BLVD. , SUITE 1250, LOS ANGELES CA 90025, SAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SAD;4;biraèko mjesto broj 4 - NEW YORK;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA, NEW YORK;369 LEXINGTON AVENUE 11TH FLOOR, NEW YORK, NY 10017, SAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SIRIJA;1;biraèko mjesto broj 1 - FAOUAR CAMP;POZICIJA 10;SIRIJSKA ARAPSKA REPUBLIKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SLOVAÈKA;1;biraèko mjesto broj 1 - BRATISLAVA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SLOVAÈKOJ REPUBLICI;MIŠIKOVA 21, 81 106 BRATISLAVA, SLOVAÈKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SLOVENIJA;1;biraèko mjesto broj 1 - LJUBLJANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI SLOVENIJI;GRUBERJEVO NABREŽJE 6, 1000 LJUBLJANA, SLOVENIJA;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;1;biraèko mjesto broj 1 - BEOGRAD;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI SRBIJI;KNEZA MILOŠA 62, 11000 BEOGRAD, SRBIJA;0;15;15;15;0;4;1;7;0;0;3;7;0;8;0;0;0;2;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;2;biraèko mjesto broj 2 - BEOGRAD;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI SRBIJI;KNEZA MILOŠA 62, 11000 BEOGRAD, SRBIJA;0;23;23;23;0;10;3;12;1;0;3;7;0;5;1;10;2;2;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;3;biraèko mjesto broj 3 - BEOGRAD;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI SRBIJI (KONZULARNI ODJEL);SIME LOZANIÆA 11, 11000 BEOGRAD, SRBIJA;0;16;16;15;1;8;0;10;0;1;1;7;0;8;0;8;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;4;biraèko mjesto broj 4 - BEOGRAD;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI SRBIJI (KONZULARNI ODJEL);SIME LOZANIÆA 11, 11000 BEOGRAD, SRBIJA;0;19;19;19;0;7;3;8;1;2;0;11;0;3;1;9;1;5;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;5;biraèko mjesto broj 5 - SUBOTICA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI SRBIJI, SUBOTICA;MAKSIMA GORKOG 6, 24000 SUBOTICA, SRBIJA;0;9;9;9;0;0;0;4;0;1;2;7;0;0;1;3;2;3;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;SRBIJA;6;biraèko mjesto broj 6 - SUBOTICA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI SRBIJI, SUBOTICA;MAKSIMA GORKOG 6, 24000 SUBOTICA, SRBIJA;0;10;10;10;0;5;0;5;0;0;0;4;0;5;0;3;0;2;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ŠPANJOLSKA;1;biraèko mjesto broj 1 - MADRID;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI ŠPANJOLSKOJ;CALLE CLAUDIO COELLO 78/2, 28001 MADRID, ŠPANJOLSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ŠVEDSKA;1;biraèko mjesto broj 1 - STOCKHOLM;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI ŠVEDSKOJ;ENGELBREKTSPLAN 2, 11434 STOCKHOLM, ŠVEDSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ŠVICARSKA;1;biraèko mjesto broj 1 - BERN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ŠVICARSKOJ KONFEDERACIJI;THUNSTRASSE 45, 3005 BERN, ŠVICARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ŠVICARSKA;2;biraèko mjesto broj 2 - ZÜRICH;GENERALNI KONZULAT REPUBLIKE HRVATSKE U ŠVICARSKOJ KONFEDERACIJI, ZÜRICH;BELLERIVESTRASSE 5, 8034 ZÜRICH, ŠVICARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;ŠVICARSKA;3;biraèko mjesto broj 3 - ŽENEVA;STALNA MISIJA REPUBLIKE HRVATSKE PRI UREDU UJEDINJENIH NARODA;25, ROUTE DE FERNEY, 1209 GENEVA, ŠVICARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;TURSKA;1;biraèko mjesto broj 1 - ANKARA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI TURSKOJ;KELEBEK SOKAK 15/A, O6700 G.O.P. - ANKARA, TURSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;TURSKA;2;biraèko mjesto broj 2 - ISTANBUL;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI TURSKOJ;ASMALI MESCIT MAH., OTELLER SOK. NO. 1/2, 34420 TEPEBASI/BEYOGLU, ISTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;UKRAJINA;1;biraèko mjesto broj 1 - KIJEV;VELEPOSLANSTVO REPUBLIKE HRVATSKE U UKRAJINI;ARTEMA 51/50, 01901 KIJEV, UKRAJINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;VELIKA BRITANIJA;1;biraèko mjesto broj 1 - LONDON;VELEPOSLANSTVO REPUBLIKE HRVATSKE U UJEDINJENOJ KRALJEVINI VELIKE BRITANIJE I SJEVERNE IRSKE;21 CONWAY STREET, W1T 6BN LONDON, VELIKA BRITANIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;VENECUELA;1;biraèko mjesto broj 1 - CARACAS;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOLIVARSKOJ REPUBLICI VENEZUELA;CALLE TICOPORO, RESIDENCIAS PATRICIA, URB. LA CIUDADELA, CARACAS 1080,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
UKUPNO;;;;;;0;157;155;154;1;51;11;69;4;6;12;82;1;39;5;55;8;33;;;;;;;;;;;;;;;;;
